binned_latitude,binned_longitude,hour,type,subtype,count
41.9,-87.62,19:00,Jam,Stand-Still Traffic,177
41.88,-87.65,18:00,Hazard,Weather,177
41.97,-87.77,17:00,Jam,Heavy Traffic,176
41.9,-87.66,01:00,Jam,Heavy Traffic,176
41.87,-87.75,15:00,Hazard,Weather,176
41.8,-87.63,14:00,Hazard,Weather,175
41.94,-87.71,17:00,Jam,Heavy Traffic,175
41.89,-87.65,00:00,Hazard,Weather,175
41.9,-87.62,23:00,Jam,Stand-Still Traffic,174
41.8,-87.63,19:00,Hazard,Weather,174
41.94,-87.71,15:00,Jam,Heavy Traffic,174
41.95,-87.72,15:00,Jam,Heavy Traffic,173
41.98,-87.81,23:00,Jam,Heavy Traffic,172
41.79,-87.63,23:00,Hazard,Weather,172
41.89,-87.65,01:00,Jam,Stand-Still Traffic,172
41.97,-87.75,23:00,Hazard,Weather,171
41.97,-87.75,19:00,Hazard,Weather,170
41.82,-87.73,18:00,Hazard,Weather,170
41.83,-87.63,13:00,Hazard,Weather,170
41.96,-87.74,14:00,Jam,Heavy Traffic,170
41.88,-87.65,00:00,Hazard,Weather,169
41.94,-87.71,14:00,Jam,Heavy Traffic,169
41.79,-87.63,17:00,Hazard,Weather,169
41.88,-87.65,19:00,Hazard,Weather,168
41.81,-87.63,15:00,Hazard,Weather,168
41.79,-87.63,18:00,Hazard,Weather,168
41.85,-87.63,13:00,Hazard,Weather,168
41.8,-87.63,15:00,Hazard,Weather,168
41.87,-87.64,18:00,Hazard,Weather,168
41.92,-87.67,23:00,Jam,Stand-Still Traffic,167
41.82,-87.63,23:00,Hazard,Weather,167
41.93,-87.69,17:00,Jam,Heavy Traffic,167
41.97,-87.77,18:00,Jam,Heavy Traffic,166
41.82,-87.73,17:00,Hazard,Weather,166
41.83,-87.63,23:00,Hazard,Weather,166
41.81,-87.63,13:00,Hazard,Weather,166
41.87,-87.73,17:00,Hazard,Weather,166
41.85,-87.63,14:00,Hazard,Weather,166
41.96,-87.74,15:00,Jam,Heavy Traffic,166
41.92,-87.67,13:00,Jam,Heavy Traffic,166
41.98,-87.75,23:00,Hazard,Weather,166
41.81,-87.63,19:00,Hazard,Weather,164
41.97,-87.76,13:00,Jam,Heavy Traffic,164
41.97,-87.76,12:00,Jam,Heavy Traffic,164
41.9,-87.66,19:00,Hazard,Weather,163
41.98,-87.66,12:00,Jam,Heavy Traffic,163
41.85,-87.64,19:00,Jam,Stand-Still Traffic,162
41.97,-87.76,15:00,Jam,Stand-Still Traffic,162
